title,duration,imdb_rating,directors,writers,cast,genres,release_date,languages,production_companies
Dewalo,,,['Prem Sawlani'],['Murli Balwani'],"['Harsh Adwani', 'Ashok Boolchandani', 'Rachna Boolchandani', 'Kashish Gangwani', 'Kavita Israni', 'Jesika Janyani', 'Meeta Jeswani', 'Kumar Kishan', 'Manohar Lalvani', 'Kamlesh Nathani', 'Parso Nathani', 'Gulraj Pahilajani', 'Suresh Parwani', 'Ratan Rangwani', 'Harsh Sawlani', 'Naitik Sawlani', 'Haresh Sewhani', 'Gulshan Shivani']",['Drama'],"April 19, 2024 (India)",['Hindi'],['Harsh Movies & Entertainment']
Vicheyam,,8.8,['Shree Gurunath Shree'],"['Yogesh Mote', 'Revan']","['Ravikiran Dixit', 'Mrunal Gaikwad', 'Tushar Ghorpade', 'Prathamesh V. Jadhav', 'Somnath Jadhav', 'Sudarshan Kale', 'Sneha Karme', 'Madhur Kulkarni', 'Nishigandha Kunte', 'Kaustubh Kurhade', 'Priyanka Lathi', 'Satish Naikodi', 'Vidya Pate', 'Revan', 'Revan', 'S-Milind', 'Faisal Sayyad', 'Shruti Shetty']",['Crime'],"April 23, 2024 (India)",['Hindi'],['Ramesh Kurhade Entertainment']
Pisara - Mystery Within Mystery,,,['Akash Deep'],['Akash Deep'],"['Arun Gaddam', 'Dipti Kashyap', 'Akash Sood', 'Mandhare Zuluk']","['Mystery', 'Thriller']","April 23, 2024 (India)",['Hindi'],['AKASH DEEP CREATIONS']
Operation Baraat,,,['Suzad Iqbal Khan'],['Manoj Manav Pandey'],"['Pradeep Raj', 'Satyakam Anand', 'Mahesh Balraj', 'Ashutosh Sagar', 'Mir Sarwar', 'Hiten Tejwani']",['Action'],"April 26, 2024 (India)",['Hindi'],['SiK Films']
Field of Dreams,,,[],"['Tanvi Jain', 'Prashant Shekhar']",[],['Documentary'],"May 1, 2024 (India)",['Hindi'],['Mobius Films']
Lorii,,9.6,['Rajiv Krishna Revndkar'],['Rajiv Krishna Revndkar'],"['Abhilasha Gaira', 'Shaan Kakkar', 'Aviinash Kavathankar', 'Pankti Patel', 'Pratibha Shimpi']","['Drama', 'Thriller']","May 3, 2024 (India)",['Hindi'],['Sairam A Creative World']
Chhota Bheem Aur Tabora Ka Maha Muqabla,,9.6,[],['Saharsh Wardhan Singh Rathore'],[],['Animation'],"May 5, 2024 (India)",['Hindi'],['Green Gold Animation']
Ga Mere Maan Ga,,,['Abhijit Das'],[],['Jaya Banerjee'],['Musical'],"May 10, 2024 (India)",['Hindi'],['Shri Productions']
Singhwahini,,,[],[],[],['Documentary'],"May 11, 2024 (India)",['Hindi'],[]
Poorval,,,['Thima Isha'],['Thima Isha'],"['Makrand Deshpande', 'Isha Talwar']",['Drama'],"May 17, 2024 (India)",['Hindi'],['Tiltblur films']
VC 571,,,[],['Avinash Dhyani'],"['Dharamendra Chauhan', 'Avinash Dhyani', 'Amit Dimri', 'Reza Khan', 'Manish Kumar', 'Manoj Kumar', 'Sushil Kumar', 'Jeet Maila', 'Abhishek Maindola', 'Rahul Mishra', 'Rashmi Nautiyal', 'Balraj Negi', 'Deepak Rawat', 'Narendra Saxena', 'Shubham Semwal', 'Aarti Shah', 'Roshan Upadhayay']",['War'],May 2024 (India),['Hindi'],"['Alaska Motion Pictures', 'Dream Sky Creations', 'Padma Siddhi Films']"
The Umesh Chronicles,,8.3,['Pooja Kaul'],['Pooja Kaul'],"['Aiza Khan', 'Kriti Panth', 'Amitabh Bachchan', 'Leela Samson', 'Zayn Marie Khan', 'Vivek Gomber', 'Bobby Pal', 'Adil Hussain', 'Babil Khan', 'Tara Kaul', 'Kristen Jain', 'Ratnabali Bhattacharjee', 'Anushka Manchanda', 'Swaroopa Ghosh', 'Gita Guha', 'Jayant Chand', 'Rashmi Mann', 'Vandana Kilam']","['Drama', 'Romance']","June 2, 2024 (United States)",['Hindi'],"['Kino Works', 'Rising Sun Films']"
Main Bhi Hu Naa,,,['Abhinit Puri'],['Abhinit Puri'],"['Abhinit Puri', 'Pooja Puri', 'Rupa Walia']",['Drama'],"June 4, 2024 (India)",['Hindi'],['AB Stories']
Return Ticket,,,['Nisant'],"['Pratyush Dwivedi', 'Nisant', 'Nishant Gk Ranjan']","['Arbaaz Khan', 'Adhyayan Suman', 'Dev Sharma', 'Gurleen Chopra', 'Ruslaan Mumtaz', 'Vikram Gokhale', 'Amit J. Sharma', 'Mugdha Godse', 'Aseema Bhatt', 'Shalu Chauhan', 'Ashwini Krishnana', 'Rakesh Singh', 'Raj Kapoor Sahi', 'Naazia', 'Aasif Taambe', 'Tushar Acharya', 'Nazia Khan', 'Washi Khan']",['Drama'],"June 5, 2024 (India)",['Hindi'],"['Nisantwood Production', 'Om Shree Entertainment', 'Raagyi Films']"
Kaalima,,,['Anubhava Shrivastava'],['Anubhava Shrivastava'],['Suman Pandey'],['Horror'],"June 13, 2024 (India)",['Hindi'],['Saanwre Films I']
Manihar,,,['Sanjeev Kumar Rajput'],['Sanjeev Kumar Rajput'],"['Pankaj Berry', 'Krishna Bhatt', 'Ramesh Goyal', 'Badrul Islam', 'Ehsaan Qureshi', 'Roshni Rastogi', 'Sunny Thakur', 'Utkarsh Maharshi', 'Anshu Tiwari', 'Durg Singh Thakur']",['Comedy'],"June 14, 2024 (India)",['Hindi'],"['Jai Shree Movie Production', 'M.S Studios']"
Naach Basanti Naach,,9.6,['Dilip Arya'],"['Dinesh Deep', 'Mukesh Kumar', 'Viren Yuvraj']","['Dilip Arya', 'Manoj Joshi', 'Arvind Jadugar', 'Gulzar Boss', 'Riya Kapoor', 'Gaurav Kumar', 'Anil Rastogi', 'Jay Vijay Sachan', 'Umakant Uma']",['Drama'],"June 14, 2024 (India)",['Hindi'],['Radium Pictures']
Shashikosha,,,[],[],[],['Documentary'],"June 17, 2024 (India)",['Hindi'],['Mobius Films']
Shukrdosh,,,['Anoop Thapa'],['Uddeept Dutt Gaur'],"['Puneet Issar', 'Mugdha Godse', 'Grusha Kapoor', 'Veeraj Rao', 'Tara-Alisha Berry', 'Kanchi Singh', 'Rakesh Bedi', 'Aakkash Dabhade', 'Ishtiyak Khan', 'Aseem Ali Khan', 'Chaudhary Manikk', 'Hariom Tiwari', 'Amol Khairnar', 'Sultan Ansari', 'Pravin Chandra', 'Karan Solanki', 'Akhilesh Jain', 'Shipti Sabharwal']",['Comedy'],"June 30, 2024 (India)",['Hindi'],['2idiot Films']
Fashion Street,,,['Chandrakant Singh'],['Chandrakant Singh'],"['Prateek Choksi', 'Srikant Devidi', 'Praveen Dhabas', 'Sushil Dubey', 'Rajneesh Duggal', 'Ginita', 'Garima Jain', 'Anisha Joganah', 'Alan Kapoor', 'Shonali Nagrani', 'Hemant Pandey', 'Sezal Sharma', 'Annsh Shekhawat', 'Prerna Singh', 'Vikas Verma', 'Tanuj Virwani']",['Drama'],"July 17, 2024 (India)",['Hindi'],['C.K Arts']
Fridayy the 13th,,,['Anteriksh Shrivastava'],['Abhirram Prratham'],"['Neeru Agrawal', 'Amol Pandagale', 'Amrapali Bhosale', 'Chetan Chotliya', 'Vinayak Dhole', 'Abhishek Kumbhar', 'Vibhav Phadke', 'Mithila Prashant', 'Asha Rao', 'Prateek Sasane']",['Drama'],"July 25, 2024 (India)",['Hindi'],['Awadh Motion Pictures']
Rajwant,,,['Rajwinder'],"['Rajwinder', 'UD Ravinder']","['Anju Kapur', 'Loveneet Kaur', 'Neeraj Kaushik', 'Manna Mand', 'Sukhpal Singh']",['Mystery'],"August 8, 2024 (United Kingdom)",['Hindi'],['Filmland Productions']
The Dark Face,,,['Senthilkumar Alamuthu'],['Senthilkumar Alamuthu'],"['Shibam Samanta', 'Vivek Gupta', 'Sanjay Kumar Mishra']",['Action'],"August 9, 2024 (India)",['Hindi'],['Sk Studio Productions']
Successful Failure,,,"['Bappaditya Nandi', 'Gourab Biswas']","['Gourab Biswas', 'Rima Jal']","['Trishakar Madhu', 'Raju Majumder', 'Papiya Adhikary', 'Manojit Boral', 'Debashish Ganguly', 'Gautam Das', 'Anupriya Chatterjee', 'Rinky Mondal', 'Rini Ghosh', 'Swarnajit Nandi', 'Diptalok Chatterjee', 'Joy Chatterjee', 'Kuntal Guha']",['Drama'],"August 9, 2024 (India)",['Hindi'],['RJ Production']
The Missing 54,,,[],['Shailendra Pandey'],[],['Documentary'],"August 14, 2024 (India)",['Hindi'],[]
Aatmanirbhar Bharat,,,['Sistla Vmk'],['Sistla Vmk'],['Akhil Bhaneswar'],['Thriller'],"August 15, 2024 (India)",['Hindi'],[]
The Psychiatrist: Session Begins,,,['Sameer Pandey'],['Prashant Singh Shaurya'],"['Sajjad Delafrooz', 'Brijendra Kala', 'Sonia Kashyap', 'Alok Pandey', 'Khushbu Rajendra', 'Saransh Singh Rajput', 'Prashant Singh Shaurya', 'Bushan Shimpi']","['Mystery', 'Thriller']",August 2024 (India),['Hindi'],['Moonchild Films']
Main Banungi Miss Bundelkhand: The Women Power,,9.4,['Sameer Khan'],[],"['Jaideep Bhainya', 'Kirtika Gupta', 'Kashvi Jaiswal', 'Ali Khan', 'Kabir Khan', 'Manisha Khan', 'Saina Khan', 'Sameer Khan', 'Kahkasha Kushvaha', 'Rakesh Malhotra', 'Onkar Das Manikpuri', 'Ajay Kumar Nigam', 'Rahul Roy', 'Anand Kumar Saxena']",['Drama'],"September 20, 2024 (India)",['Hindi'],[]
Maxx Ki Gunn,,,['Sameer Khan'],"['Sameer Khan', 'Faisal Saif']","['Zakia Bari Momo', 'Amita Nangia', 'Nishant Pandey', 'Sonam Penjore', 'Kavita Radheshyam']",['Thriller'],"September 20, 2024 (India)",['Hindi'],['Faith Pictures Inc']
Soch - A perception,,8.2,['Ravi Gautam'],"['Ravi Gautam', 'Pepino Pushpani']","['Anjali Patil', 'Mukti Ravi Das', 'Silpi Dutta', 'Bhawani Muzamil', 'Bhavani Bashir Yasir', 'Ritika Sharma', 'Gauri Webster', 'Dipesh Rohilla', 'Dayal Prasad', 'Kritika Sharma', 'Deepa Sharma', 'Jaimala Sharma', 'Kamal Sharma']","['Crime', 'Drama', 'Mystery']","September 21, 2024 (United States)",['Hindi'],"['Aarambh Productions', 'Anahat Films', 'Webfilmland Productions']"
Smart Killer,,8.6,"['Yogi Khokkar', 'Rajaram Singh']",['Priya Naidu'],"['Atsede Addy Ethio', 'Hemant Birje', 'Pinky Chinoy', 'Pooja Dadwal', 'Ramesh Goyal', 'Raju Khan', 'Siddhant Kumar', 'Durgesh Nautiyal', 'Sunil Pal', 'Lalitraj Sharma', 'Sakshi Tiwari', 'Sapna Tiwari', 'Shivpujan Tiwari', 'Vibha Tiwari']","['Drama', 'Family']",September 2024 (India),['Hindi'],['Filmy Jhalak International']
Mai Thanedar Hu,,,['Rana Jaiswal'],['Sanjeev Chauhan'],"['Fareed Ansari', 'Krishna Bansal', 'Sanjeev Chauhan', 'Omi Kashyap', 'Hasanpreet Kaur', 'Faizan Khan', 'Vandana Patil', 'Manish Shankhe', 'Vikash Tiwari', 'Manjeet Uppal']",['Comedy'],"October 6, 2024 (India)",['Hindi'],[]
Ateet Ek Prem Kahani,,,['Anil Nainan'],[],"['Anara Gupta', 'Slesha Mishra', 'Raghav Nayyar', 'Ritesh Pandey']",['Horror'],"October 15, 2024 (India)",['Hindi'],"[""Yashi Film's""]"
Humans in the Loop,,9.1,['Aranya Sahay'],['Aranya Sahay'],"['Geeta Guha', 'Gita Guha', 'Vikas Gupta', 'Anurag Lugun', 'Sonal Madhushankar', 'Prayrak Mehta', 'Ridhima Singh']",['Drama'],"October 21, 2024 (India)",['Hindi'],"['Sauv Films', 'Storiculture']"
DDV Movie,,,['Premanidhi Majhi'],[],"['Bibek Majhi', 'Dusmanta Majhi', 'Khusiram Majhi', 'Pinku Majhi', 'Premanidhi Majhi', 'Tirtha Majhi']",[],"October 22, 2024 (India)",['Hindi'],['ddvreturnFilms']
Third-Floor,,,[],[],[],[],"October 24, 2024 (India)",['Hindi'],[]
