Actresses
Neelu Chopra
Neena Gupta
Neet Mahal
Neha Dhupia
Neha Khatri
Neha Pednekar
Neha Sharma
Nidhi Nautiyal
Nidhi Punmiya
Nikita Dutta
Nikky Athan
Mink Singh
Nimisha Sajayan
Nishika Singh
Nitanshi Goel
Nora Fatehi
Olga Alexan
Omna Harjani
Paavani Atrey
Padmini Sardesai
Pakhi Singh
Palak Jain
Pari Sharma
Parul Gulati
Parvin Dabas
Pashmina Roshan
Patralekhaa Paul
Paula McGlynn
Payal Ghosh
Payal Nair
Pia Roy
Piklu
Piya Prasad
Pooja Bhamrrah
Pooja Joshi
Pooja Kankate
Pooja Pallavi
Pooja Sawant
Poonam Dhillon
Poonam Dwivedi
Poonam Tiwari
Poornanand Wandhekar
Prachee Shah
Prachi Desai
Prachi Lengare
Pragati Jaiswal
Pragya Jaiswal
Prakashika Naik
Pranali Bondikar
Prantika Das
Prathibha Borde
Prathana Kachroo
Preeti Mishra
Prerna Sethi Mandal
Priya Bakshi
Priya Banerjee
Priya Bapat
Priyal Gor
Priyal Pandorwala
Priyamani
Priyanam Das
Priyanka Bose
Priyanka Malviya
Priyanshi Soman
Pubali Sanyal
Puja Singh
Raashi Khanna
Rachna Vasavada
Radhika Apte
Radhika Madan
Radhika Vidyasagar
Rahi Mamtora
Raima Sen
Raiza Wilson
Rajshree Shah
Rajshree Thakkar
Rajshree Nair
Rakhi Sawant
Rani
Rashami Desai
Raziya Sultana
Reema Chaudhary
Reena Bhattacharya
Reeva Chaudhary
Rekha
Rekha Kudligi
Rekha Rana
Reshma Chawla
Richa Amberr
Richa Pallod
Richa Prakash
Riddhi Gupta
Ridhi Dogra
Ridhima Pandit
Riju Bajaj
Rijul Ray
Riney Aryaa
Rio Kapadia
Rishika Gambhir
Ritu Choudhary
Riya Shukla
Riya Sisodia
Riyana Shukla
Rose Khan
Rose Sardana
Roselynn Raj
Ruhani Sharma
Rukmini Maitra
Rumi Khan
Rupa Chaulagain
Rupali Ganguly
Rupali Pallavi
Sahher Bambba
Sai Tamhankar
Saiyami Kher
Sakshi Tanwar
Saloni Mishra
Sameera Reddy
Samridhi Chandola
Samta Sudiksha
Sana Amin Sheikh
Saniya Musawar
Sejal Gupta
Sejuti Tarafder
Seema Sawhney Sharma
Seerat Mast
Sarah Killedar
Sarah Lockett
Sarosh Khurshid
Satyam Singh Ghoshi
Sanya Malhotra
Sara Ali Khan
Sara Khan
Shahana Goswami
Shalini Pandey
Shanaya Khanna
Shakti Singh Chouhan
Sharvari
Sharvari Deshpande
Sheeba Agarwal
Sheeba Chaddha
Sheeja Shetty
Sheetal Dabholkar
Shehnaaz Gill
Shikha Dhyani
Shilpa Shukla
Shilpa Tulaskar
Shiny Dixit
Shivangi Bhardwaj
Shivani Dubey
Shivani Sopori
Shivjyoti Rajput
Shraddha Kapoor
Shraddha Upadhyay
Shreya Dhanwanthary
Shreya Rastogi
Shreya Sharma
Shriya Athnikar
Shriya Sharma
Shruti Bapna
Shruti Gholap
Shruti Marathe
Shruti Pandey
Shubhangi Bhujbal
Shweta Tiwari
Simran Ahuja
Simran Khanna
Simran Nathmalpuria
Simran Suri
Simranjeet Kaur
Simratt Kaur Randhawa
Smiley Suri
Smriti Kalra
Sneha Balpande
Sneha Desai
Sona Bhandari
Sohaila Kapur
Sonali Desai
Sonali Kulkarni
Sonalli Sharmisstha
Sonia Sodhi Kaushal
Sonnalli Seygall
Snehal Shidham
Snehil Dixit Mehra
Sobhita Dhulipala
Sohani Kumari
Sophiya Chaudhary
Suchchi Kumar
Suhani Biswas
Suhani Popli
Sujata Mogal
Sukanya Dhanda
Sukhita Aiyar
Suki Chott
Sulagna Panigrahi
Suman Rao
Sumisha Shankar
Sunita Balani
Sunita D.
Sunita Rajwar
Supreet Bedi
Supriya Karnik
Supriya Pilgaonkar
Surabhi Krishna Srivastava
Surbhi Mahendru
Surbhi Tiwari
Sushmita Mukherjee
Sushrii Mishraa
Sweta Gupta
Taapsee Pannu
Tabu
Tamannaah Bhatia
Tamara Dsouza
Tanisha Mehta
Tanishaa Mukerji
Taniya Chatterjee
Taniya Kalrra
Tanvi Azmi
Tanvi Malhara
Tanvika Parlikar
Tara-Alisha Berry
Swarna Bharat
Swarna Pandey
Swaroopa Ghosh
Swastika Chakraborty
Swastika Mukherjee
Triptii Dimri
Trupti Khamkar
Urvashi Dubey
Urvashi Golter
Urvashi Rautela
Urvi Upadhyay
Vaani Kapoor
Vanshika Taparia
Vidya Balan
Vidya Malvade
Vijaylaxmi Singh
Vishakha Tyagi
Swati Semwal
Wamiqa Gabbi
Yami Gautam
Yamini Das
Yashica Singh
Yasmine Alice
Yukta Mookhey
Yushira Khan
Zara Zyanna
Zarina Wahab
Zeba Hussain
Zoie Aggarwal Ahmed
Zoya Afroz
Zoya Hussain
